 INTERPRETE, TITULO, SELLO, ESTILO, LUGAR DE COMPRA
 2 BROTHERS ON THE 4TH FLOOR, LET ME BE FREE, LOWLAND RECORDS, EURODANCE, FANTASIA
 2 BROTHERS ON THE 4TH FLOOR, FAIRYTALES, LOWLAND RECORDS, EURODANCE, FANTASIA
 2 BROTHERS ON THE 4TH FLOOR, FLY, LOWLAND RECORDS, EURODANCE, FANTASIA
 2 BROTHERS ON THE 4TH FLOOR, COME TAKE MY HAND, LOWLAND RECORDS, EURODANCE, FANTASIA
 2 COLORS, MUSIC OF MY LIFE, BOY RECORDS, EURODANCE, FANTASIA
 2 COLORS, MAGIC WORLD, BOY RECORDS, EURODANCE, FANTASIA
 2 COLORS, YOU LOOK LIKE THE SUN, NOT ONLY MUSIC, EURODANCE, FANTASIA
 2 COLORS, LOVE & EMOTION, NOT ONLY MUSIC, EURODANCE, FANTASIA
 2 FABIOLA, PLAY THIS SONG, MAX MUSIC, EURODANCE, FANTASIA
 2 FABIOLA, LIFT YOU UP, MAX MUSIC, EURODANCE, FANTASIA
 2 FABIOLA, FREAK OUT, CIRCUS RECORDS, EURODANCE, FANTASIA
 2 JEE'S, MATRIX, TIDE RECORDS, PROGRESSIVE, INTERGROOVE
 2 UNLIMITED, NO LIMITS, BLANCO Y NEGRO, EURODANCE, FANTASIA
 2 UNLIMITED, TRIBAL DANCE, BLANCO Y NEGRO, EURODANCE, FANTASIA
 2 UNLIMITED, FACES, BLANCO Y NEGRO, EURODANCE, FANTASIA
 2 UNLIMITED, MAXIMUM OVERDRIVE, BLANCO Y NEGRO, EURODANCE, FANTASIA
 2 UNLIMITED, LET THE BEAT CONTROL YOUR BODY, BLANCO Y NEGRO, EURODANCE, FANTASIA
 2 UNLIMITED, THE REAL THING, BLANCO Y NEGRO, EURODANCE, FANTASIA
 2 UNLIMITED, NO ONE, BLANCO Y NEGRO, EURODANCE, FANTASIA
 2 UNLIMITED, HERE I GO, BLANCO Y NEGRO, EURODANCE, FANTASIA
 2 UNLIMITED, JUMP FOR JOY, BLANCO Y NEGRO, EURODANCE, PLASTIC
